Date	Machine	Compiler Flags	Buffer Size	Operation	Columns	DataType	Time	Time/BufSize
13-12-2017 09:43:02	ASUS Laptop		4	Multiply	0	int	1973914	49347850
13-12-2017 09:43:02	ASUS Laptop		4.5	Sum	900	int	20014	444755.5556
13-12-2017 09:43:03	ASUS Laptop		4.5	Multiply	0	int	2500051	55556688.89
13-12-2017 09:43:03	ASUS Laptop		5	Sum	1000	int	21148	422960
13-12-2017 09:43:05	ASUS Laptop		5	Multiply	0	int	3273162	65463240
13-12-2017 09:43:05	ASUS Laptop		5.5	Sum	1100	int	24181	439654.5455
13-12-2017 09:43:06	ASUS Laptop		5.5	Multiply	0	int	3412340	62042545.45
13-12-2017 09:43:06	ASUS Laptop		6	Sum	1200	int	24638	410633.3333
13-12-2017 09:43:08	ASUS Laptop		6	Multiply	0	int	3778655	62977583.33
13-12-2017 09:43:08	ASUS Laptop		6.5	Sum	1300	int	30149	463830.7692
13-12-2017 09:43:10	ASUS Laptop		6.5	Multiply	0	int	4340242	66772953.85
13-12-2017 09:43:10	ASUS Laptop		7	Sum	1400	int	30039	429128.5714
13-12-2017 09:43:12	ASUS Laptop		7	Multiply	0	int	4961243	70874900
13-12-2017 09:43:12	ASUS Laptop		7.5	Sum	1500	int	35001	466680
13-12-2017 09:43:14	ASUS Laptop		7.5	Multiply	0	int	5384176	71789013.33
13-12-2017 09:43:15	ASUS Laptop		8	Sum	1600	int	34579	432237.5
13-12-2017 09:43:17	ASUS Laptop		8	Multiply	0	int	6348798	79359975
13-12-2017 09:43:17	ASUS Laptop		8.5	Sum	1700	int	40769	479635.2941
13-12-2017 09:43:20	ASUS Laptop		8.5	Multiply	0	int	7306198	85955270.59
13-12-2017 09:43:20	ASUS Laptop		9	Sum	1800	int	39373	437477.7778
13-12-2017 09:43:23	ASUS Laptop		9	Multiply	0	int	7670470	85227444.44
13-12-2017 09:43:24	ASUS Laptop		9.5	Sum	1900	int	44873	472347.3684
13-12-2017 09:43:27	ASUS Laptop		9.5	Multiply	0	int	8511924	89599200
13-12-2017 09:43:27	ASUS Laptop		10	Sum	2000	int	45431	454310
13-12-2017 09:43:32	ASUS Laptop		10	Multiply	0	int	11771172	117711720
13-12-2017 09:49:03	ASUS Laptop		0.5	Sum	100	int	1644	328800
13-12-2017 09:49:03	ASUS Laptop		0.5	Multiply	0	int	80867	16173400
13-12-2017 09:49:03	ASUS Laptop		1	Sum	200	int	4567	456700
13-12-2017 09:49:03	ASUS Laptop		1	Multiply	0	int	260337	26033700
13-12-2017 09:49:03	ASUS Laptop		1.5	Sum	300	int	6226	415066.6667
13-12-2017 09:49:03	ASUS Laptop		1.5	Multiply	0	int	414274	27618266.67
13-12-2017 09:49:03	ASUS Laptop		2	Sum	400	int	7776	388800
13-12-2017 09:49:04	ASUS Laptop		2	Multiply	0	int	690041	34502050
13-12-2017 09:49:04	ASUS Laptop		2.5	Sum	500	int	10664	426560
13-12-2017 09:49:04	ASUS Laptop		2.5	Multiply	0	int	961089	38443560
13-12-2017 09:49:04	ASUS Laptop		3	Sum	600	int	12202	406733.3333
13-12-2017 09:49:05	ASUS Laptop		3	Multiply	0	int	1272845	42428166.67
13-12-2017 09:49:05	ASUS Laptop		3.5	Sum	700	int	14848	424228.5714
13-12-2017 09:49:05	ASUS Laptop		3.5	Multiply	0	int	1938402	55382914.29
13-12-2017 09:49:06	ASUS Laptop		4	Sum	800	int	16600	415000
13-12-2017 09:49:06	ASUS Laptop		4	Multiply	0	int	1966373	49159325
13-12-2017 09:49:06	ASUS Laptop		4.5	Sum	900	int	19102	424488.8889
13-12-2017 09:49:07	ASUS Laptop		4.5	Multiply	0	int	2444835	54329666.67
13-12-2017 09:49:08	ASUS Laptop		5	Sum	1000	int	21514	430280
13-12-2017 09:49:09	ASUS Laptop		5	Multiply	0	int	3229059	64581180
13-12-2017 09:49:09	ASUS Laptop		5.5	Sum	1100	int	24218	440327.2727
13-12-2017 09:49:10	ASUS Laptop		5.5	Multiply	0	int	3429549	62355436.36
13-12-2017 09:49:11	ASUS Laptop		6	Sum	1200	int	24547	409116.6667
13-12-2017 09:49:12	ASUS Laptop		6	Multiply	0	int	3823076	63717933.33
13-12-2017 09:49:12	ASUS Laptop		6.5	Sum	1300	int	29947	460723.0769
13-12-2017 09:49:14	ASUS Laptop		6.5	Multiply	0	int	4362814	67120215.38
13-12-2017 09:49:14	ASUS Laptop		7	Sum	1400	int	30036	429085.7143
13-12-2017 09:49:16	ASUS Laptop		7	Multiply	0	int	4969679	70995414.29
13-12-2017 09:49:16	ASUS Laptop		7.5	Sum	1500	int	35008	466773.3333
13-12-2017 09:49:18	ASUS Laptop		7.5	Multiply	0	int	5340483	71206440
13-12-2017 09:49:19	ASUS Laptop		8	Sum	1600	int	34500	431250
13-12-2017 09:49:21	ASUS Laptop		8	Multiply	0	int	6311076	78888450
13-12-2017 09:49:21	ASUS Laptop		8.5	Sum	1700	int	40141	472247.0588
13-12-2017 09:49:24	ASUS Laptop		8.5	Multiply	0	int	7027645	82678176.47
13-12-2017 09:49:24	ASUS Laptop		9	Sum	1800	int	39084	434266.6667
13-12-2017 09:49:27	ASUS Laptop		9	Multiply	0	int	7670891	85232122.22
13-12-2017 09:49:28	ASUS Laptop		9.5	Sum	1900	int	44891	472536.8421
13-12-2017 09:49:31	ASUS Laptop		9.5	Multiply	0	int	8437386	88814589.47
13-12-2017 09:49:31	ASUS Laptop		10	Sum	2000	int	45365	453650
13-12-2017 09:49:36	ASUS Laptop		10	Multiply	0	int	11665174	116651740
13-12-2017 09:55:07	ASUS Laptop		0.5	Sum	100	int	1660	332000
13-12-2017 09:55:07	ASUS Laptop		0.5	Multiply	0	int	72030	14406000
13-12-2017 09:55:07	ASUS Laptop		1	Sum	200	int	4139	413900
13-12-2017 09:55:07	ASUS Laptop		1	Multiply	0	int	223872	22387200
13-12-2017 09:55:07	ASUS Laptop		1.5	Sum	300	int	6065	404333.3333
13-12-2017 09:55:07	ASUS Laptop		1.5	Multiply	0	int	421948	28129866.67
13-12-2017 09:55:07	ASUS Laptop		2	Sum	400	int	7786	389300
13-12-2017 09:55:07	ASUS Laptop		2	Multiply	0	int	670193	33509650
13-12-2017 09:55:07	ASUS Laptop		2.5	Sum	500	int	10423	416920
